time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523318879163,2018-04-10T00:07:59.163000Z,1016.0472429961119,-76,324,960,3013,20,1012.01,29.05,C2:9A:9F:E5:58:27
1523318884613,2018-04-10T00:08:04.612999Z,1014.4870625099169,-72,320,960,3001,20,1011.99,29.05,C2:9A:9F:E5:58:27
1523318889798,2018-04-10T00:08:09.798000Z,1009.7365993168713,-76,316,956,3001,20,1011.95,29.06,C2:9A:9F:E5:58:27
1523318895353,2018-04-10T00:08:15.352999Z,1011.3041085647778,-80,320,956,3001,20,1011.97,29.05,C2:9A:9F:E5:58:27
1523318900913,2018-04-10T00:08:20.913000Z,1014.4870625099169,-72,320,960,3001,20,1011.97,29.05,C2:9A:9F:E5:58:27
1523318906463,2018-04-10T00:08:26.463000Z,1012.576910659136,-80,324,956,2995,20,1011.93,29.05,C2:9A:9F:E5:58:27
1523318911583,2018-04-10T00:08:31.582999Z,1008.4919434482359,-76,324,952,2995,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318916583,2018-04-10T00:08:36.582999Z,1017.3298383513579,-76,328,960,3001,20,1012.03,29.04,C2:9A:9F:E5:58:27
1523318921613,2018-04-10T00:08:41.612999Z,1010.0455435276174,-80,316,956,3001,20,1011.91,29.04,C2:9A:9F:E5:58:27
1523318926643,2018-04-10T00:08:46.642999Z,1008.4919434482359,-76,312,956,3007,20,1012.08,29.05,C2:9A:9F:E5:58:27
1523318931703,2018-04-10T00:08:51.703000Z,1009.4909608312498,-72,328,952,2995,20,1012.06,29.04,C2:9A:9F:E5:58:27
1523318937583,2018-04-10T00:08:57.582999Z,1016.0472429961119,-76,324,960,2995,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318942793,2018-04-10T00:09:02.792999Z,1009.1659922926456,-68,316,956,3001,20,1012.05,29.05,C2:9A:9F:E5:58:27
1523318948343,2018-04-10T00:09:08.342999Z,1014.2110234068648,-68,320,960,3001,20,1012.05,29.04,C2:9A:9F:E5:58:27
1523318953863,2018-04-10T00:09:13.862999Z,1019.8274363832344,-76,324,964,3001,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318959433,2018-04-10T00:09:19.433000Z,1014.4870625099169,-72,320,960,3007,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318964993,2018-04-10T00:09:24.993000Z,1019.8274363832344,-76,324,964,3001,20,1012.01,29.04,C2:9A:9F:E5:58:27
1523318970603,2018-04-10T00:09:30.602999Z,1012.2687390214122,-76,324,956,3013,20,1012,29.04,C2:9A:9F:E5:58:27
1523318975593,2018-04-10T00:09:35.592999Z,1018.9327750151135,-80,332,960,3001,20,1011.94,29.04,C2:9A:9F:E5:58:27
1523318981173,2018-04-10T00:09:41.173000Z,1015.0862032359616,-80,320,960,3001,20,1011.94,29.04,C2:9A:9F:E5:58:27
1523318987190,2018-04-10T00:09:47.190000Z,1018.8699622621132,-80,320,964,3013,20,1012.02,29.03,C2:9A:9F:E5:58:27
1523318992583,2018-04-10T00:09:52.582999Z,1016.3542689436592,-80,324,960,3007,20,1011.93,29.03,C2:9A:9F:E5:58:27
1523318997833,2018-04-10T00:09:57.832999Z,1015.0862032359616,-80,320,960,3007,20,1012.01,29.03,C2:9A:9F:E5:58:27
1523319003383,2018-04-10T00:10:03.382999Z,1013.8323332780426,-80,316,960,3001,20,1011.97,29.04,C2:9A:9F:E5:58:27
1523319008613,2018-04-10T00:10:08.612999Z,1014.7787936294294,-76,320,960,3007,20,1012.03,29.03,C2:9A:9F:E5:58:27
1523319014493,2018-04-10T00:10:14.493000Z,1018.563694621009,-76,320,964,2995,20,1012.01,29.03,C2:9A:9F:E5:58:27
1523319020011,2018-04-10T00:10:20.010999Z,1007.5236969917879,-80,320,952,3001,20,1012.01,29.03,C2:9A:9F:E5:58:27
1523319025613,2018-04-10T00:10:25.612999Z,1020.1333246198753,-80,324,964,2995,20,1012.08,29.02,C2:9A:9F:E5:58:27
1523319031593,2018-04-10T00:10:31.592999Z,1021.1052835041056,-76,316,968,2995,20,1011.99,29.02,C2:9A:9F:E5:58:27
1523319036703,2018-04-10T00:10:36.703000Z,1010.9955489516262,-76,320,956,3001,20,1011.96,29.02,C2:9A:9F:E5:58:27
1523319041783,2018-04-10T00:10:41.782999Z,1017.6207545053314,-80,316,964,3001,20,1012.03,29.02,C2:9A:9F:E5:58:27
1523319047321,2018-04-10T00:10:47.321000Z,1016.0472429961119,-76,324,960,3001,20,1012.02,29.02,C2:9A:9F:E5:58:27
1523319053403,2018-04-10T00:10:53.403000Z,1012.2687390214122,-76,324,956,3001,20,1012.01,29.03,C2:9A:9F:E5:58:27
1523319058603,2018-04-10T00:10:58.602999Z,1021.7318630638863,-84,316,968,2995,20,1012.07,29.02,C2:9A:9F:E5:58:27
1523319064493,2018-04-10T00:11:04.493000Z,1013.5245433634057,-76,316,960,3013,20,1012.03,29.02,C2:9A:9F:E5:58:27
1523319069573,2018-04-10T00:11:09.572999Z,1018.273047860936,-72,320,964,2989,20,1012.02,29.02,C2:9A:9F:E5:58:27
1523319074590,2018-04-10T00:11:14.589999Z,1013.5245433634057,-76,316,960,3007,20,1012,29.01,C2:9A:9F:E5:58:27
1523319080143,2018-04-10T00:11:20.142999Z,1015.7558761828552,-72,324,960,3013,20,1012.05,29.01,C2:9A:9F:E5:58:27
1523319085603,2018-04-10T00:11:25.602999Z,1023.3200867763712,-72,324,968,2995,20,1012,29.01,C2:9A:9F:E5:58:27
1523319091233,2018-04-10T00:11:31.233000Z,1012.2687390214122,-76,324,956,3001,20,1012.01,29.01,C2:9A:9F:E5:58:27
1523319096583,2018-04-10T00:11:36.582999Z,1012.2845449773497,-76,312,960,3013,20,1012.04,29.02,C2:9A:9F:E5:58:27
1523319102393,2018-04-10T00:11:42.392999Z,1018.563694621009,-76,320,964,3001,20,1012.02,29.02,C2:9A:9F:E5:58:27
